date_utc,time_utc,event,weight,note
2021-05-12,12:30,CPI_APPROX,red,approx_verify_bls
2021-06-04,12:30,NFP,red,computed_first_friday_exact
2021-06-12,12:30,CPI_APPROX,red,approx_verify_bls
2021-06-16,18:00,FOMC_decision,red,fed_schedule_exact
2021-07-02,12:30,NFP,red,computed_first_friday_exact
2021-07-12,12:30,CPI_APPROX,red,approx_verify_bls
2021-07-28,18:00,FOMC_decision,red,fed_schedule_exact
2021-08-06,12:30,NFP,red,computed_first_friday_exact
2021-08-12,12:30,CPI_APPROX,red,approx_verify_bls
2021-09-03,12:30,NFP,red,computed_first_friday_exact
2021-09-12,12:30,CPI_APPROX,red,approx_verify_bls
2021-09-22,18:00,FOMC_decision,red,fed_schedule_exact
2021-10-01,12:30,NFP,red,computed_first_friday_exact
2021-10-12,12:30,CPI_APPROX,red,approx_verify_bls
2021-11-03,19:00,FOMC_decision,red,fed_schedule_exact
2021-11-05,13:30,NFP,red,computed_first_friday_exact
2021-11-12,13:30,CPI_APPROX,red,approx_verify_bls
2021-12-03,13:30,NFP,red,computed_first_friday_exact
2021-12-12,13:30,CPI_APPROX,red,approx_verify_bls
2021-12-15,19:00,FOMC_decision,red,fed_schedule_exact
2022-01-07,13:30,NFP,red,computed_first_friday_exact
2022-01-12,13:30,CPI_APPROX,red,approx_verify_bls
2022-01-26,19:00,FOMC_decision,red,fed_schedule_exact
2022-02-04,13:30,NFP,red,computed_first_friday_exact
2022-02-12,13:30,CPI_APPROX,red,approx_verify_bls
2022-03-04,13:30,NFP,red,computed_first_friday_exact
2022-03-12,13:30,CPI_APPROX,red,approx_verify_bls
2022-03-16,19:00,FOMC_decision,red,fed_schedule_exact
2022-04-01,12:30,NFP,red,computed_first_friday_exact
2022-04-12,12:30,CPI_APPROX,red,approx_verify_bls
2022-05-04,18:00,FOMC_decision,red,fed_schedule_exact
2022-05-06,12:30,NFP,red,computed_first_friday_exact
2022-05-12,12:30,CPI_APPROX,red,approx_verify_bls
2022-06-03,12:30,NFP,red,computed_first_friday_exact
2022-06-12,12:30,CPI_APPROX,red,approx_verify_bls
2022-06-15,18:00,FOMC_decision,red,fed_schedule_exact
2022-07-01,12:30,NFP,red,computed_first_friday_exact
2022-07-12,12:30,CPI_APPROX,red,approx_verify_bls
2022-07-27,18:00,FOMC_decision,red,fed_schedule_exact
2022-08-05,12:30,NFP,red,computed_first_friday_exact
2022-08-12,12:30,CPI_APPROX,red,approx_verify_bls
2022-09-02,12:30,NFP,red,computed_first_friday_exact
2022-09-12,12:30,CPI_APPROX,red,approx_verify_bls
2022-09-21,18:00,FOMC_decision,red,fed_schedule_exact
2022-10-07,12:30,NFP,red,computed_first_friday_exact
2022-10-12,12:30,CPI_APPROX,red,approx_verify_bls
2022-11-02,19:00,FOMC_decision,red,fed_schedule_exact
2022-11-04,13:30,NFP,red,computed_first_friday_exact
2022-11-12,13:30,CPI_APPROX,red,approx_verify_bls
2022-12-02,13:30,NFP,red,computed_first_friday_exact
2022-12-12,13:30,CPI_APPROX,red,approx_verify_bls
2022-12-14,19:00,FOMC_decision,red,fed_schedule_exact
2023-01-06,13:30,NFP,red,computed_first_friday_exact
2023-01-12,13:30,CPI_APPROX,red,approx_verify_bls
2023-02-01,19:00,FOMC_decision,red,fed_schedule_exact
2023-02-03,13:30,NFP,red,computed_first_friday_exact
2023-02-12,13:30,CPI_APPROX,red,approx_verify_bls
2023-03-03,13:30,NFP,red,computed_first_friday_exact
2023-03-12,13:30,CPI_APPROX,red,approx_verify_bls
2023-03-22,19:00,FOMC_decision,red,fed_schedule_exact
2023-04-07,12:30,NFP,red,computed_first_friday_exact
2023-04-12,12:30,CPI_APPROX,red,approx_verify_bls
2023-05-03,18:00,FOMC_decision,red,fed_schedule_exact
2023-05-05,12:30,NFP,red,computed_first_friday_exact
2023-05-12,12:30,CPI_APPROX,red,approx_verify_bls
2023-06-02,12:30,NFP,red,computed_first_friday_exact
2023-06-12,12:30,CPI_APPROX,red,approx_verify_bls
2023-06-14,18:00,FOMC_decision,red,fed_schedule_exact
2023-07-07,12:30,NFP,red,computed_first_friday_exact
2023-07-12,12:30,CPI_APPROX,red,approx_verify_bls
2023-07-26,18:00,FOMC_decision,red,fed_schedule_exact
2023-08-04,12:30,NFP,red,computed_first_friday_exact
2023-08-12,12:30,CPI_APPROX,red,approx_verify_bls
2023-09-01,12:30,NFP,red,computed_first_friday_exact
2023-09-12,12:30,CPI_APPROX,red,approx_verify_bls
2023-09-20,18:00,FOMC_decision,red,fed_schedule_exact
2023-10-06,12:30,NFP,red,computed_first_friday_exact
2023-10-12,12:30,CPI_APPROX,red,approx_verify_bls
2023-11-01,19:00,FOMC_decision,red,fed_schedule_exact
2023-11-03,13:30,NFP,red,computed_first_friday_exact
2023-11-12,13:30,CPI_APPROX,red,approx_verify_bls
2023-12-01,13:30,NFP,red,computed_first_friday_exact
2023-12-12,13:30,CPI_APPROX,red,approx_verify_bls
2023-12-13,19:00,FOMC_decision,red,fed_schedule_exact
2024-01-05,13:30,NFP,red,computed_first_friday_exact
2024-01-12,13:30,CPI_APPROX,red,approx_verify_bls
2024-01-31,19:00,FOMC_decision,red,fed_schedule_exact
2024-02-02,13:30,NFP,red,computed_first_friday_exact
2024-02-12,13:30,CPI_APPROX,red,approx_verify_bls
2024-03-01,13:30,NFP,red,computed_first_friday_exact
2024-03-12,13:30,CPI_APPROX,red,approx_verify_bls
2024-03-20,19:00,FOMC_decision,red,fed_schedule_exact
2024-04-05,12:30,NFP,red,computed_first_friday_exact
2024-04-12,12:30,CPI_APPROX,red,approx_verify_bls
2024-05-01,18:00,FOMC_decision,red,fed_schedule_exact
2024-05-03,12:30,NFP,red,computed_first_friday_exact
2024-05-12,12:30,CPI_APPROX,red,approx_verify_bls
2024-06-07,12:30,NFP,red,computed_first_friday_exact
2024-06-12,12:30,CPI_APPROX,red,approx_verify_bls
2024-06-12,18:00,FOMC_decision,red,fed_schedule_exact
2024-07-05,12:30,NFP,red,computed_first_friday_exact
2024-07-12,12:30,CPI_APPROX,red,approx_verify_bls
2024-07-31,18:00,FOMC_decision,red,fed_schedule_exact
2024-08-02,12:30,NFP,red,computed_first_friday_exact
2024-08-12,12:30,CPI_APPROX,red,approx_verify_bls
2024-09-06,12:30,NFP,red,computed_first_friday_exact
2024-09-12,12:30,CPI_APPROX,red,approx_verify_bls
2024-09-18,18:00,FOMC_decision,red,fed_schedule_exact
2024-10-04,12:30,NFP,red,computed_first_friday_exact
2024-10-12,12:30,CPI_APPROX,red,approx_verify_bls
2024-11-01,13:30,NFP,red,computed_first_friday_exact
2024-11-07,19:00,FOMC_decision,red,fed_schedule_exact
2024-11-12,13:30,CPI_APPROX,red,approx_verify_bls
2024-12-06,13:30,NFP,red,computed_first_friday_exact
2024-12-12,13:30,CPI_APPROX,red,approx_verify_bls
2024-12-18,19:00,FOMC_decision,red,fed_schedule_exact
2025-01-03,13:30,NFP,red,computed_first_friday_exact
2025-01-12,13:30,CPI_APPROX,red,approx_verify_bls
2025-01-29,19:00,FOMC_decision,red,fed_schedule_exact
2025-02-07,13:30,NFP,red,computed_first_friday_exact
2025-02-12,13:30,CPI_APPROX,red,approx_verify_bls
2025-03-07,13:30,NFP,red,computed_first_friday_exact
2025-03-12,13:30,CPI_APPROX,red,approx_verify_bls
2025-03-19,19:00,FOMC_decision,red,fed_schedule_exact
2025-04-04,12:30,NFP,red,computed_first_friday_exact
2025-04-12,12:30,CPI_APPROX,red,approx_verify_bls
2025-05-02,12:30,NFP,red,computed_first_friday_exact
2025-05-07,18:00,FOMC_decision,red,fed_schedule_exact
2025-05-12,12:30,CPI_APPROX,red,approx_verify_bls
2025-06-06,12:30,NFP,red,computed_first_friday_exact
2025-06-12,12:30,CPI_APPROX,red,approx_verify_bls
2025-06-18,18:00,FOMC_decision,red,fed_schedule_exact
2025-07-04,12:30,NFP,red,computed_first_friday_exact
2025-07-12,12:30,CPI_APPROX,red,approx_verify_bls
2025-07-30,18:00,FOMC_decision,red,fed_schedule_exact
2025-08-01,12:30,NFP,red,computed_first_friday_exact
2025-08-12,12:30,CPI_APPROX,red,approx_verify_bls
2025-09-05,12:30,NFP,red,computed_first_friday_exact
2025-09-12,12:30,CPI_APPROX,red,approx_verify_bls
2025-09-17,18:00,FOMC_decision,red,fed_schedule_exact
2025-10-03,12:30,NFP,red,computed_first_friday_exact
2025-10-12,12:30,CPI_APPROX,red,approx_verify_bls
2025-10-29,18:00,FOMC_decision,red,fed_schedule_exact
2025-11-07,13:30,NFP,red,computed_first_friday_exact
2025-11-12,13:30,CPI_APPROX,red,approx_verify_bls
2025-12-05,13:30,NFP,red,computed_first_friday_exact
2025-12-10,19:00,FOMC_decision,red,fed_schedule_exact
2025-12-12,13:30,CPI_APPROX,red,approx_verify_bls
2026-01-02,13:30,NFP,red,computed_first_friday_exact
2026-01-12,13:30,CPI_APPROX,red,approx_verify_bls
2026-01-28,19:00,FOMC_decision,red,fed_schedule_exact
2026-02-06,13:30,NFP,red,computed_first_friday_exact
2026-02-12,13:30,CPI_APPROX,red,approx_verify_bls
2026-03-06,13:30,NFP,red,computed_first_friday_exact
2026-03-12,13:30,CPI_APPROX,red,approx_verify_bls
2026-03-18,19:00,FOMC_decision,red,fed_schedule_exact
2026-04-03,12:30,NFP,red,computed_first_friday_exact
2026-04-12,12:30,CPI_APPROX,red,approx_verify_bls
2026-04-29,18:00,FOMC_decision,red,fed_schedule_exact
2026-05-01,12:30,NFP,red,computed_first_friday_exact
2026-05-12,12:30,CPI_APPROX,red,approx_verify_bls
2026-06-05,12:30,NFP,red,computed_first_friday_exact
2026-06-12,12:30,CPI_APPROX,red,approx_verify_bls
2026-06-17,18:00,FOMC_decision,red,fed_schedule_exact
2026-07-03,12:30,NFP,red,computed_first_friday_exact
2026-07-12,12:30,CPI_APPROX,red,approx_verify_bls
2026-07-29,18:00,FOMC_decision,red,fed_schedule_exact
2026-08-07,12:30,NFP,red,computed_first_friday_exact
2026-08-12,12:30,CPI_APPROX,red,approx_verify_bls
2026-09-04,12:30,NFP,red,computed_first_friday_exact
2026-09-12,12:30,CPI_APPROX,red,approx_verify_bls
2026-09-16,18:00,FOMC_decision,red,fed_schedule_exact
2026-10-02,12:30,NFP,red,computed_first_friday_exact
2026-10-12,12:30,CPI_APPROX,red,approx_verify_bls
2026-10-28,18:00,FOMC_decision,red,fed_schedule_exact
2026-11-06,13:30,NFP,red,computed_first_friday_exact
2026-11-12,13:30,CPI_APPROX,red,approx_verify_bls
2026-12-04,13:30,NFP,red,computed_first_friday_exact
2026-12-09,19:00,FOMC_decision,red,fed_schedule_exact
2026-12-12,13:30,CPI_APPROX,red,approx_verify_bls
